评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7187873581,画中悲欢离合Zz,男,其他,49,49,14,你在三星的老家建设5G？我惊呆了,16,2019-10-11 12:03 
https://weibo.cn//u/6584833288,twfjcn,男,广东,74,36,47,三星说允许了么？,6,2019-10-11 12:05 
https://weibo.cn//u/5810430730,食工1603清雅爱,男,河南,5,34,54,所以他们一个说英语一个说韩语是怎么对话的？,5,2019-10-11 12:18 
https://weibo.cn//u/1643962207,步之岛noknow,男,其他,8,36,2,回复@食工1603清雅爱:你没看过采访类的节目？？？,0,2019-10-11 14:24
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,262,235,190,回复@Jacoolbees:谁说的三星没有,0,2019-10-11 13:52 
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,262,235,190,回复@clannad赛高:三星为主哈,0,2019-10-11 13:52 
https://weibo.cn//u/6617768523,clannad赛高,男,其他,61,122,16,回复@猫神的乐天派小跟班:又不是全是三星的技术,0,2019-10-11 13:44 
https://weibo.cn//u/2237332362,holo禾堂,男,广东,841,186,386,韩国的5G是来自于华为的 不然华为官博也不会发这条微博 懂不懂？,0,2019-10-11 13:41 
https://weibo.cn//u/6604908258,Jacoolbees,男,其他,12,116,5,回复@twfjcn:三星没有吧。。。,1,2019-10-11 13:30 
https://weibo.cn//u/5984735354,丶大象迷了路,女,上海,211,71,165,回复@猫神的乐天派小跟班:lgu+是华为的，其它三星诺基亚爱立信的,0,2019-10-11 13:02 
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,262,235,190,回复@塔达林傲娇领主:三星是韩国基站的主要提供者吧,0,2019-10-11 13:00 
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,262,235,190,回复@黛惜_daisy:那你不看下阿里股东是谁，也不影响他是中国企业吧,0,2019-10-11 12:59 
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,262,235,190,回复@clannad赛高:三星又不是买华为的技术,0,2019-10-11 12:59 
https://weibo.cn//u/6617768523,clannad赛高,男,其他,61,122,16,回复@猫神的乐天派小跟班:这里说的是技术,0,2019-10-11 12:56 
https://weibo.cn//u/2285192384,2018幺发,男,江苏,3342,519,495,所以文在寅要被搞下台吗,0,2019-10-11 12:52 
https://weibo.cn//u/2108745597,NealChalmers,男,其他,283,197,247,回复@画中悲欢离合Zz:中国人嘛，到韩国搞5g，到非洲搞大坝，有钱赚，发展才是硬道理,0,2019-10-11 12:43 
https://weibo.cn//u/2434484917,蹦迪不崴脚yyyyy岳,男,天津,277,248,1587,一定要好好做产品啊，加油！,0,2019-10-11 12:41 
https://weibo.cn//u/5399312150,朱老六六六,男,河北,386,122,64,这男的脸把我惊呆了,1,2019-10-11 12:39 
https://weibo.cn//u/2561235335,有多香,男,江苏,24,97,61,这个艺术展给我看呆了,1,2019-10-11 12:31 
https://weibo.cn//u/5617361212,陽彁,男,江苏,143,34,22,官网买的mate30pro八号晚上发货ems到今天还没到……这邮政太慢了,0,2019-10-11 12:25 
https://weibo.cn//u/5810430730,食工1603清雅爱,男,河南,5,34,54,所以他们一个说英语一个说韩语是怎么对话的？,5,2019-10-11 12:18 
https://weibo.cn//lijielun,科技美熊,男,河北,56120,300,1483,     举报             赞[0]         回复             今天 12:16 来自网页,0,2019-10-11 12:16 
https://weibo.cn//gaoxiaoaliu,路彼林,男,其他,2449,1051,417,回复@朱红院:韩国软实力很强，提早搭上5G快车不一定就是我们占便宜,0,2019-10-11 12:13 
https://weibo.cn//u/6856960799,爱机萨拉木,男,其他,27,76,28,手里好像用的是LG是吧,2,2019-10-11 12:12 
https://weibo.cn//u/5274837371,塔达林傲娇领主,男,北京,164,246,16,华为是韩国5G服务提供商的最重要硬件提供商，其5G商用化华为功不可没，这同样适用于摩洛哥,3,2019-10-11 12:09 
https://weibo.cn//u/6319847479,东方明珠2261,男,其他,360,78,31,就问你一句，中国为何咪做到世界第一商用。。。影响何其之大//。？,1,2019-10-11 12:05 
https://weibo.cn//u/6584833288,twfjcn,男,广东,74,36,47,三星说允许了么？,6,2019-10-11 12:05 
https://weibo.cn//u/7187873581,画中悲欢离合Zz,男,其他,49,49,14,你在三星的老家建设5G？我惊呆了,16,2019-10-11 12:03 
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,262,235,190,韩国不是用的三星5g嘛,2,2019-10-11 12:03 
https://weibo.cn//u/5036842474,年少怎能不轻狂_z,女,福建,15,180,49,咱们中国也要加油！💪,2,2019-10-11 12:02 
https://weibo.cn//u/2949989907,朱红院,男,海外,963,29,17705,华为5G，划重点,2,2019-10-11 12:02 
https://weibo.cn//u/5654484612,血色-rose,男,浙江,15227,1285,360,所以5g版本gkd,0,2019-10-11 12:02 
https://weibo.cn//u/6354080001,TheRock_PinNan,男,其他,13,395,1185,？,0,2019-10-11 12:00 
